epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.003,0.64469,2.52499,1.26977,0.56337,0.75862,0.66477,0.57815,0.48077,1.75642,1.14234,0.000405702,0.000405702,0.000405702
2,19.5062,0.55505,1.14582,1.18485,0.41421,0.15833,0.20705,0.12284,1.90418,3.14726,2.29438,0.000814227,0.000814227,0.000814227
3,27.7492,0.57501,1.02453,1.18132,0.38667,0.40077,0.34325,0.14197,2.32682,3.42993,2.9509,0.0012145,0.0012145,0.0012145
4,35.9617,0.55595,0.95112,1.19472,0.37871,0.48622,0.29529,0.224,2.2037,5.60539,2.31693,0.00121287,0.00121287,0.00121287
5,44.1638,0.53233,0.92895,1.15689,0.48953,0.65307,0.7113,0.61491,0.5957,1.21192,1.32128,0.0012005,0.0012005,0.0012005
6,52.34,0.55793,0.92933,1.18531,0.77547,0.58378,0.73558,0.62923,0.59621,1.36484,1.256,0.00118812,0.00118812,0.00118812
7,60.5604,0.53312,0.91429,1.17311,0.37522,0.61948,0.4867,0.27775,1.24646,4.35539,1.79264,0.00117575,0.00117575,0.00117575
8,68.6988,0.53937,0.8743,1.16222,0.51218,0.63419,0.67211,0.52865,0.68647,1.37101,1.36842,0.00116337,0.00116337,0.00116337
9,76.8744,0.53936,0.8645,1.16557,0.71573,0.86066,0.85604,0.72387,0.5637,0.85222,1.14496,0.001151,0.001151,0.001151
10,85.0495,0.5087,0.84393,1.14546,0.65,0.83336,0.78561,0.67816,0.55984,0.98559,1.20088,0.00113863,0.00113863,0.00113863
11,93.2125,0.50696,0.8202,1.1374,0.6826,0.78285,0.75364,0.57802,0.85402,1.08133,1.45431,0.00112625,0.00112625,0.00112625
12,101.354,0.49483,0.85657,1.14429,0.75434,0.77835,0.80124,0.61874,0.62337,1.0026,1.29228,0.00111388,0.00111388,0.00111388
13,109.578,0.51435,0.82666,1.14132,0.73928,0.72085,0.78754,0.58196,0.71055,1.16581,1.31435,0.0011015,0.0011015,0.0011015
14,117.729,0.48871,0.79502,1.13388,0.77524,0.82329,0.85373,0.68455,0.59362,0.80459,1.42989,0.00108913,0.00108913,0.00108913
15,125.885,0.47477,0.83094,1.12498,0.70859,0.76614,0.85367,0.69898,0.48692,0.92711,1.06981,0.00107675,0.00107675,0.00107675
16,134.028,0.46517,0.75885,1.12179,0.68534,0.92599,0.86931,0.77289,0.54242,0.77366,1.1466,0.00106437,0.00106437,0.00106437
17,142.208,0.45954,0.82918,1.11489,0.72995,0.79231,0.80526,0.72774,0.48608,0.89371,1.16949,0.001052,0.001052,0.001052
18,150.415,0.46127,0.75922,1.10597,0.77011,0.83798,0.86209,0.77649,0.53377,0.80933,1.14245,0.00103962,0.00103962,0.00103962
19,158.642,0.45112,0.76683,1.1214,0.70219,0.75381,0.80211,0.65605,0.62021,1.01694,1.28609,0.00102725,0.00102725,0.00102725
20,166.807,0.43967,0.77757,1.1004,0.61003,0.87079,0.83211,0.75893,0.49181,0.77774,1.09545,0.00101488,0.00101488,0.00101488
21,174.998,0.42528,0.74047,1.08687,0.65162,0.73394,0.72966,0.64693,0.45354,1.11234,1.03029,0.0010025,0.0010025,0.0010025
22,183.152,0.43609,0.74414,1.09345,0.81442,0.84249,0.88263,0.81391,0.43446,0.6742,1.07889,0.000990125,0.000990125,0.000990125
23,191.348,0.4468,0.72137,1.09799,0.76132,0.88684,0.86458,0.78224,0.494,0.80462,1.0658,0.00097775,0.00097775,0.00097775
24,199.538,0.4676,0.72524,1.11396,0.79617,0.88919,0.88981,0.75862,0.55281,0.66048,1.16686,0.000965375,0.000965375,0.000965375
25,207.729,0.456,0.73751,1.11115,0.76385,0.83388,0.89002,0.82547,0.47357,0.71034,1.11333,0.000953,0.000953,0.000953
26,215.917,0.44451,0.7452,1.09778,0.67493,0.87258,0.82346,0.70461,0.50807,0.88378,1.10458,0.000940625,0.000940625,0.000940625
27,224.672,0.42455,0.74063,1.0878,0.83948,0.89274,0.86266,0.79082,0.46363,0.64941,1.05455,0.00092825,0.00092825,0.00092825
28,232.838,0.40419,0.69462,1.06923,0.75695,0.90375,0.87411,0.78993,0.44964,0.80353,1.01026,0.000915875,0.000915875,0.000915875
29,241.018,0.41021,0.69091,1.08048,0.80949,0.90494,0.89221,0.82753,0.41512,0.67204,1.00601,0.0009035,0.0009035,0.0009035
30,249.225,0.41374,0.70018,1.09471,0.83085,0.82063,0.86623,0.78501,0.48412,0.6994,1.04761,0.000891125,0.000891125,0.000891125
31,257.405,0.41067,0.70248,1.0749,0.63519,0.77071,0.83541,0.71237,0.52433,0.84086,1.13053,0.00087875,0.00087875,0.00087875
32,265.568,0.41323,0.67426,1.08,0.88058,0.87089,0.90452,0.82291,0.41441,0.60164,0.98124,0.000866375,0.000866375,0.000866375
33,273.775,0.41371,0.68847,1.08134,0.80339,0.881,0.88934,0.83766,0.38385,0.6043,0.93596,0.000854,0.000854,0.000854
34,281.997,0.42535,0.70084,1.08549,0.83041,0.80943,0.89254,0.85054,0.37557,0.65145,0.98652,0.000841625,0.000841625,0.000841625
35,290.238,0.38693,0.67557,1.0587,0.8405,0.8953,0.90828,0.84687,0.38581,0.53878,0.94502,0.00082925,0.00082925,0.00082925
36,298.389,0.37711,0.66289,1.05463,0.76303,0.85488,0.87779,0.82943,0.37646,0.69721,0.91153,0.000816875,0.000816875,0.000816875
37,306.564,0.42002,0.68461,1.08187,0.87284,0.88179,0.90361,0.85308,0.37404,0.61399,0.93475,0.0008045,0.0008045,0.0008045
38,314.765,0.39481,0.64605,1.06336,0.82885,0.87352,0.89194,0.82695,0.41067,0.56896,0.97357,0.000792125,0.000792125,0.000792125
39,322.959,0.41414,0.66535,1.08087,0.77955,0.91726,0.90095,0.8329,0.42115,0.59571,1.01932,0.00077975,0.00077975,0.00077975
40,331.136,0.3834,0.65783,1.05422,0.84074,0.90128,0.90989,0.84584,0.45806,0.75033,1.10789,0.000767375,0.000767375,0.000767375
41,339.325,0.38433,0.63593,1.05347,0.8289,0.88743,0.90225,0.84079,0.35306,0.63441,0.90264,0.000755,0.000755,0.000755
42,347.508,0.39265,0.69511,1.05889,0.81774,0.88431,0.90224,0.83094,0.36045,0.60235,0.89666,0.000742625,0.000742625,0.000742625
43,355.705,0.39955,0.64049,1.0712,0.7963,0.90007,0.87779,0.78382,0.51785,0.75657,1.06514,0.00073025,0.00073025,0.00073025
44,363.869,0.38431,0.65009,1.06172,0.80343,0.92137,0.90024,0.8375,0.38015,0.56549,0.92575,0.000717875,0.000717875,0.000717875
45,372.054,0.40391,0.66432,1.07378,0.72762,0.87946,0.89554,0.83675,0.36846,0.67841,0.93459,0.0007055,0.0007055,0.0007055
46,380.195,0.39285,0.67892,1.06575,0.85698,0.87856,0.91478,0.84867,0.39491,0.57315,0.96046,0.000693125,0.000693125,0.000693125
47,388.401,0.36236,0.61172,1.03768,0.85154,0.80626,0.86566,0.81706,0.36957,0.6937,0.92593,0.00068075,0.00068075,0.00068075
48,396.577,0.36789,0.60395,1.04675,0.85996,0.86373,0.89829,0.852,0.32617,0.61215,0.84624,0.000668375,0.000668375,0.000668375
49,404.762,0.36615,0.60935,1.04464,0.89633,0.87086,0.91615,0.86679,0.34052,0.52839,0.84427,0.000656,0.000656,0.000656
50,412.997,0.36751,0.60686,1.05236,0.86525,0.84656,0.91123,0.86235,0.37072,0.55831,0.88498,0.000643625,0.000643625,0.000643625
51,421.195,0.37415,0.60065,1.04854,0.84463,0.91018,0.91684,0.86967,0.37326,0.56781,0.91513,0.00063125,0.00063125,0.00063125
52,429.42,0.35803,0.59587,1.04525,0.83844,0.92816,0.92057,0.86668,0.37234,0.54124,0.94088,0.000618875,0.000618875,0.000618875
53,437.602,0.35701,0.60003,1.0364,0.79458,0.92255,0.92077,0.87015,0.37367,0.56269,0.90076,0.0006065,0.0006065,0.0006065
54,445.79,0.3566,0.59776,1.04247,0.86308,0.89238,0.92231,0.87972,0.34643,0.49076,0.87055,0.000594125,0.000594125,0.000594125
55,454.046,0.34502,0.5865,1.02596,0.86073,0.86989,0.90963,0.86718,0.32455,0.57118,0.84682,0.00058175,0.00058175,0.00058175
56,462.231,0.35428,0.59416,1.03682,0.87124,0.88091,0.90701,0.8578,0.35947,0.55939,0.87597,0.000569375,0.000569375,0.000569375
57,470.447,0.34646,0.60306,1.03466,0.78797,0.89123,0.91141,0.85182,0.44845,0.62701,1.01219,0.000557,0.000557,0.000557
58,478.653,0.36519,0.61992,1.04806,0.85358,0.90018,0.91065,0.86925,0.35357,0.5264,0.88939,0.000544625,0.000544625,0.000544625
59,487.364,0.35024,0.59085,1.02525,0.88488,0.87158,0.91049,0.86596,0.39324,0.55025,0.91813,0.00053225,0.00053225,0.00053225
60,495.526,0.34038,0.54665,1.03193,0.8314,0.89517,0.90933,0.85625,0.38614,0.57209,0.91233,0.000519875,0.000519875,0.000519875
61,503.696,0.35115,0.58396,1.0347,0.81283,0.89819,0.92122,0.8617,0.42492,0.56737,0.97246,0.0005075,0.0005075,0.0005075
62,511.832,0.3475,0.57012,1.02626,0.85767,0.87223,0.91885,0.88107,0.34323,0.50693,0.86365,0.000495125,0.000495125,0.000495125
63,520.046,0.35248,0.58258,1.03726,0.83485,0.86875,0.92065,0.86311,0.43823,0.55023,0.98842,0.00048275,0.00048275,0.00048275
64,528.24,0.33311,0.56871,1.01503,0.84177,0.90406,0.93199,0.87722,0.39186,0.5023,0.91993,0.000470375,0.000470375,0.000470375
65,536.417,0.35745,0.58119,1.0424,0.88039,0.87953,0.92189,0.87981,0.38404,0.5554,0.90661,0.000458,0.000458,0.000458
66,544.582,0.3463,0.57304,1.02393,0.83078,0.90781,0.91938,0.8851,0.35012,0.50303,0.86708,0.000445625,0.000445625,0.000445625
67,552.799,0.34246,0.5347,1.02394,0.87479,0.87969,0.92665,0.88148,0.33884,0.48756,0.86765,0.00043325,0.00043325,0.00043325
68,560.98,0.34746,0.55838,1.02042,0.83204,0.86357,0.9072,0.85467,0.33516,0.6168,0.8765,0.000420875,0.000420875,0.000420875
69,569.174,0.33059,0.54611,1.01346,0.88432,0.90508,0.93308,0.87781,0.3864,0.48362,0.90077,0.0004085,0.0004085,0.0004085
70,577.328,0.3283,0.55112,1.01647,0.86216,0.88413,0.9431,0.89972,0.34812,0.52514,0.86555,0.000396125,0.000396125,0.000396125
71,585.578,0.32907,0.54883,1.02304,0.84687,0.92201,0.93275,0.88985,0.32999,0.54566,0.84376,0.00038375,0.00038375,0.00038375
72,593.754,0.33936,0.54895,1.0267,0.89766,0.88527,0.9329,0.88806,0.30254,0.49568,0.82245,0.000371375,0.000371375,0.000371375
73,601.96,0.3312,0.52267,1.03245,0.79776,0.90016,0.91513,0.8423,0.44037,0.60043,0.93145,0.000359,0.000359,0.000359
74,610.122,0.3411,0.53393,1.03151,0.85254,0.90985,0.92335,0.89028,0.31921,0.49932,0.81949,0.000346625,0.000346625,0.000346625
75,618.303,0.32505,0.55244,1.0153,0.82184,0.9196,0.91897,0.8819,0.3205,0.48892,0.83596,0.00033425,0.00033425,0.00033425
76,626.504,0.32578,0.51977,1.01484,0.84786,0.9165,0.93764,0.9023,0.34237,0.48179,0.84181,0.000321875,0.000321875,0.000321875
77,634.761,0.33184,0.53056,1.02621,0.85174,0.87046,0.93318,0.87628,0.38573,0.51764,0.90846,0.0003095,0.0003095,0.0003095
78,642.947,0.31525,0.49214,0.99668,0.8326,0.91025,0.92911,0.86786,0.39476,0.48161,0.88568,0.000297125,0.000297125,0.000297125
79,651.164,0.30872,0.51088,1.00183,0.84744,0.91873,0.94082,0.90126,0.34359,0.45422,0.842,0.00028475,0.00028475,0.00028475
80,659.345,0.30628,0.50077,0.99845,0.85686,0.87699,0.93607,0.89549,0.35674,0.52277,0.86012,0.000272375,0.000272375,0.000272375
81,667.508,0.30452,0.49711,1.00978,0.84969,0.87571,0.92595,0.88744,0.38159,0.50466,0.87999,0.00026,0.00026,0.00026
82,675.66,0.31054,0.48353,0.99927,0.85156,0.85334,0.91157,0.88083,0.32632,0.54609,0.82433,0.000247625,0.000247625,0.000247625
83,683.824,0.31121,0.50235,0.99742,0.80229,0.9359,0.92924,0.8973,0.31208,0.47951,0.8112,0.00023525,0.00023525,0.00023525
84,691.985,0.30035,0.4881,0.99992,0.84617,0.91095,0.93574,0.90219,0.30138,0.47821,0.79907,0.000222875,0.000222875,0.000222875
85,700.155,0.30543,0.49798,1.0031,0.86382,0.92112,0.94057,0.90743,0.28264,0.45881,0.77858,0.0002105,0.0002105,0.0002105
86,708.316,0.30132,0.47377,0.99612,0.87712,0.87869,0.93778,0.90336,0.30032,0.47576,0.81004,0.000198125,0.000198125,0.000198125
87,716.472,0.29844,0.47419,0.99834,0.89543,0.8461,0.92701,0.8948,0.32032,0.54271,0.82726,0.00018575,0.00018575,0.00018575
88,724.621,0.30124,0.47621,1.00552,0.85835,0.88593,0.9318,0.89612,0.3332,0.50445,0.8315,0.000173375,0.000173375,0.000173375
89,732.79,0.30985,0.47972,1.01133,0.88499,0.86741,0.92452,0.88925,0.32298,0.53382,0.82572,0.000161,0.000161,0.000161
90,740.921,0.29,0.4697,0.99722,0.88312,0.87459,0.93301,0.89729,0.34966,0.49308,0.86271,0.000148625,0.000148625,0.000148625
91,749.93,0.1246,0.36973,0.99507,0.85064,0.9142,0.9293,0.89023,0.34611,0.49289,0.85199,0.00013625,0.00013625,0.00013625
92,758.088,0.12838,0.364,0.99294,0.87028,0.93285,0.9382,0.90357,0.31229,0.47175,0.81828,0.000123875,0.000123875,0.000123875
93,766.263,0.13099,0.33199,0.98626,0.8515,0.91862,0.93622,0.90811,0.31146,0.451,0.80884,0.0001115,0.0001115,0.0001115
94,774.428,0.13159,0.33218,0.99173,0.89366,0.88253,0.9321,0.90614,0.31202,0.45027,0.80533,9.9125e-05,9.9125e-05,9.9125e-05
95,782.568,0.11973,0.3024,0.97094,0.86898,0.88121,0.9294,0.90704,0.29695,0.47263,0.79816,8.675e-05,8.675e-05,8.675e-05
96,791.381,0.11527,0.2855,0.97822,0.89648,0.869,0.93074,0.90761,0.28151,0.45802,0.77013,7.4375e-05,7.4375e-05,7.4375e-05
97,799.564,0.11429,0.29244,0.97859,0.92653,0.84599,0.93582,0.91257,0.28705,0.44391,0.77954,6.2e-05,6.2e-05,6.2e-05
