epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7981,0.64953,2.71483,1.2863,0.38174,0.46599,0.4386,0.29026,1.39395,14.1582,2.40332,0.000405702,0.000405702,0.000405702
2,31.8987,0.66725,1.39844,1.25003,0.18757,0.31274,0.1526,0.04864,3.12654,3.14261,4.81353,0.000814227,0.000814227,0.000814227
3,45.6799,0.66009,1.31667,1.244,0.43405,0.38982,0.38261,0.23497,1.44331,3.36113,2.19716,0.0012145,0.0012145,0.0012145
4,59.4443,0.65205,1.12595,1.24569,0.15153,0.48918,0.21884,0.10074,1.43462,4.04712,2.01063,0.00121287,0.00121287,0.00121287
5,73.4167,0.59908,1.03725,1.19107,0.68572,0.59548,0.7051,0.55573,0.64166,1.47869,1.40364,0.0012005,0.0012005,0.0012005
6,87.5405,0.61706,1.09713,1.22183,0.38596,0.93816,0.75588,0.58266,0.55493,1.25238,1.39816,0.00118812,0.00118812,0.00118812
7,101.353,0.5916,1.0086,1.21756,0.6279,0.76363,0.80043,0.71588,0.52941,1.28611,1.15826,0.00117575,0.00117575,0.00117575
8,114.867,0.57175,1.00296,1.17994,0.57184,0.76455,0.65571,0.5828,0.50246,1.29117,1.11076,0.00116337,0.00116337,0.00116337
9,128.986,0.57699,0.97091,1.19289,0.5681,0.76578,0.67376,0.55916,0.63229,2.38763,1.2435,0.001151,0.001151,0.001151
10,143.051,0.55641,0.91712,1.17941,0.82402,0.77678,0.85579,0.70745,0.53808,1.00142,1.19221,0.00113863,0.00113863,0.00113863
11,157.061,0.55212,0.93032,1.17216,0.2954,0.64535,0.29806,0.14002,1.69716,2.55189,2.18332,0.00112625,0.00112625,0.00112625
12,171.155,0.52588,0.94643,1.15926,0.67958,0.7838,0.80733,0.66375,0.49884,0.99739,1.14798,0.00111388,0.00111388,0.00111388
13,185.134,0.54044,0.89378,1.15573,0.60701,0.77037,0.71109,0.54168,0.73764,1.2689,1.52842,0.0011015,0.0011015,0.0011015
14,199.132,0.5014,0.82972,1.14115,0.79572,0.77222,0.87569,0.79775,0.46082,0.70197,1.07651,0.00108913,0.00108913,0.00108913
15,213.302,0.50206,0.87922,1.13427,0.58103,0.82734,0.78218,0.67797,0.51882,0.96324,1.05236,0.00107675,0.00107675,0.00107675
