epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1573,1.41555,4.45194,1.99631,0.19893,0.55904,0.22891,0.05996,2.5973,251.428,6.35396,0.000405702,0.000405702,0.000405702
2,31.6994,1.11363,1.86727,1.64712,0.00128,0.10789,0.00086,0.00014,4.17372,inf,89.636,0.000814227,0.000814227,0.000814227
3,45.8922,1.07626,1.61543,1.57994,0.24379,0.5208,0.28659,0.20997,1.6643,1.9651,2.89883,0.0012145,0.0012145,0.0012145
4,60.1595,0.99486,1.50073,1.52844,0.24873,0.77574,0.31229,0.20441,1.21308,1.83508,2.5445,0.00121287,0.00121287,0.00121287
5,74.2614,0.93695,1.42098,1.44452,0.25545,0.55737,0.3188,0.16497,2.3529,2.64739,3.77112,0.0012005,0.0012005,0.0012005
6,88.391,0.87134,1.39052,1.42558,0.38875,0.72047,0.43006,0.25574,1.63714,1.96509,3.569,0.00118812,0.00118812,0.00118812
7,102.428,0.86803,1.34784,1.4131,0.31971,0.63024,0.35921,0.13722,2.31485,1.76619,3.25431,0.00117575,0.00117575,0.00117575
8,116.344,0.84243,1.34575,1.38468,0.41364,0.77948,0.46136,0.25181,1.678,1.80746,2.29025,0.00116337,0.00116337,0.00116337
9,130.248,0.85104,1.30605,1.40351,0.44999,0.75634,0.55415,0.25234,1.87235,1.52254,2.90986,0.001151,0.001151,0.001151
10,144.399,0.81319,1.30268,1.35838,0.20744,0.91807,0.40882,0.25661,1.53734,3.07288,2.68766,0.00113863,0.00113863,0.00113863
11,158.385,0.77063,1.25378,1.34161,0.35601,0.74566,0.56323,0.46476,0.69743,1.68201,1.55467,0.00112625,0.00112625,0.00112625
12,172.482,0.80388,1.30176,1.36484,0.30849,0.78721,0.54816,0.44979,0.72806,1.97126,1.62361,0.00111388,0.00111388,0.00111388
13,186.693,0.78125,1.27033,1.3171,0.43444,0.88702,0.60429,0.49339,0.74779,1.14858,1.66524,0.0011015,0.0011015,0.0011015
14,200.68,0.78672,1.2555,1.33513,0.30211,0.98684,0.48015,0.40741,0.63654,2.3255,1.45597,0.00108913,0.00108913,0.00108913
15,214.542,0.76612,1.23398,1.32784,0.46058,0.8682,0.69492,0.58776,0.66333,0.99341,1.57757,0.00107675,0.00107675,0.00107675
16,228.64,0.75219,1.23757,1.31414,0.5181,0.79794,0.66998,0.57439,0.62395,0.98716,1.44957,0.00106437,0.00106437,0.00106437
17,242.699,0.75281,1.19983,1.29867,0.44067,0.86582,0.66384,0.5543,0.68827,1.039,1.58383,0.001052,0.001052,0.001052
18,256.654,0.73699,1.20479,1.30029,0.42458,0.82864,0.55919,0.48285,0.63083,1.18666,1.49892,0.00103962,0.00103962,0.00103962
19,270.696,0.71362,1.19711,1.27715,0.51132,0.75865,0.67096,0.54377,0.77544,1.07961,1.67567,0.00102725,0.00102725,0.00102725
20,284.738,0.70325,1.1545,1.27194,0.52339,0.78564,0.73794,0.61994,0.64357,1.05669,1.52444,0.00101488,0.00101488,0.00101488
21,298.771,0.74187,1.17079,1.30379,0.49976,0.7748,0.65716,0.55515,0.65879,1.04316,1.52178,0.0010025,0.0010025,0.0010025
22,312.814,0.71465,1.17066,1.26344,0.43247,0.77389,0.6779,0.56034,0.65861,1.4101,1.48546,0.000990125,0.000990125,0.000990125
23,326.947,0.7047,1.17867,1.26412,0.51183,0.83726,0.7171,0.59064,0.69619,1.09827,1.55279,0.00097775,0.00097775,0.00097775
24,341.036,0.70552,1.13527,1.25928,0.21457,0.92279,0.45955,0.37256,0.78484,2.87935,1.72223,0.000965375,0.000965375,0.000965375
25,355.137,0.70478,1.12988,1.27156,0.24707,0.99561,0.52294,0.44855,0.63843,2.19352,1.4743,0.000953,0.000953,0.000953
26,369.293,0.7021,1.13979,1.25792,0.48056,0.6587,0.5977,0.28528,1.95398,1.94736,3.78894,0.000940625,0.000940625,0.000940625
27,383.187,0.69379,1.08169,1.25383,0.71878,0.7795,0.79732,0.68705,0.62552,0.88426,1.47107,0.00092825,0.00092825,0.00092825
28,397.146,0.66709,1.05935,1.24184,0.34815,0.8671,0.38805,0.28605,1.07521,4.59517,2.19166,0.000915875,0.000915875,0.000915875
29,411.064,0.67706,1.05484,1.24203,0.56479,0.63087,0.56035,0.27436,1.98342,1.98146,4.39037,0.0009035,0.0009035,0.0009035
